BAPID,Name,Standard,Std,F_type,Species ,Star_Stat,Country,Company ,Parent_Company ,latitude,longitude,Expiration,Language_Pref,M_tons_2015,Hatch_Output,Mill_Output,2015_CB,2015_Aud,2015_Min_N,2015_Maj_N,2015_Crt_N,M_tons_2016,2016_Aud,2016_Min_N,2016_Maj_N,2016_Crt_N
P10547,Minh Hai JOSTOCO ,Seafood Processing Plant Standard,3,Plant,Shrimp,4,Vietnam,Minh Hai Export Frozen Seafood Processing JSC,Minh Hai Export Frozen Seafood Processing JSC,9.166938889,105.1533556,8/22/17,TBD,1600,,,Bureau Veritas Certification Vietnam,Tran Minh Hieu,6,0,0,,,,,
P10548,VV Marine Products,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,VV Mineral Group,VV Mineral Group,8.659177252,78.09034309,9/1/17,TBD,"2,917.42",,,Bureau Veritas Certification India Pvt. Ltd.,Masud Hasan,7,0,0,,,,,
P10549,Cuttack Unit,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,Rams Assorted Cold Storage Ltd.,Rams Assorted Cold Storage Ltd.,20.38805556,85.88611111,10/20/17,TBD,"1,157.56",,,Bureau Veritas Certification India Pvt. Ltd.,Masud Hasan,10,3,0,,,,,
P10550,Pacific Gold S.A.,Seafood Processing Plant Standard,3,Plant,Mussels,1,Chile,Pacific Gold S.A.,Pacific Gold S.A.,-41.45538056,-72.96478333,7/18/17,TBD,,,,NSF International,Consuelo Salazar,5,0,0,,,,,
P10552,PT. Suri Tani Pemuka,Seafood Processing Plant Standard,3,Plant,Tilapia,2,Indonesia,PT. Suri Tani Pemuka,PT. Suri Tani Pemuka,2.910292066,99.00306072,9/25/17,TBD,"1,100",,,SGS India Pvt. Ltd.,Wawan Somala,15,0,0,,,,,
P10554,Growel Processors Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,2,India,Growel Processors Pvt. Ltd.,Growel Processors Pvt. Ltd.,16.424881,81.161657,8/12/17,TBD,,,,NSF International,Srinivasarao Vajiiparti,6,0,0,,,,,
P10555,Zhanjiang Hengrun Aquatic Products Co. Ltd.,Seafood Processing Plant Standard,3,Plant,Tilapia,1,China,Zhanjiang Hengrun Aquatic Products Co. Ltd.,Zhanjiang Hengrun Aquatic Products Co. Ltd.,21.29075,110.3143722,12/31/17,TBD,,,,,,,,,,,,,
P10556,Charoen Pokphand Foods Public Company Limited,Seafood Processing Plant Standard,3,Plant,Shrimp,4,Thailand,Charoen Pokphand Foods Public Company Limited,Charoen Pokphand Foods Public Company Limited,7.85201,100.35114,8/12/17,TBD,,,,,,,,,,,,,
P10557,Falcon Marine Exports Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,Falcon Marine Exports Ltd.,Falcon Marine Exports Ltd.,22.81277778,88.54916667,7/31/17,TBD,,,,SGS India Pvt. Ltd.,Gobinda Mitra,18,3,0,,,,,
P10560,Hainan Natural Seafoods Co. Ltd.,Seafood Processing Plant Standard,3,Plant,Tilapia,3,China,Hainan Natural Seafoods Co. Ltd.,Hainan Natural Seafoods Co. Ltd.,20.01376111,110.2683056,7/8/17,TBD,,,,Global Trust,Yuan Tao,10,1,0,,,,,
P10562,M/S Hyson Logistics & Marine Exports Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,M/S Hyson Logistics & Marine Exports Pvt. Ltd.,M/S Hyson Logistics & Marine Exports Pvt. Ltd.,13.66189841,80.00326763,10/13/17,TBD,"1,539",,,SGS India Pvt. Ltd.,Gobinda Mitra,12,3,0,,,,,
P10565,Sea Favors S.A.,Seafood Processing Plant Standard,3,Plant,Salmon,4,Chile,Sea Flavors S.A.,Sea Flavors S.A.,-41.46777883,-72.97162571,11/3/17,TBD,"18,950",,,NSF International,Michael Gentry,5,0,0,,,,,
P10567,Calcutta Seafoods Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,4,India,Calcutta Seafoods Pvt. Ltd.,Calcutta Seafoods Pvt. Ltd.,22.69888889,88.46722222,10/10/17,TBD,603.245,,,Bureau Veritas Certification India Pvt. Ltd.,Masud Hasan,7,1,0,,,,,
P10568,Elque & Co.,Seafood Processing Plant Standard,3,Plant,Shrimp,4,India,Elque & Co.,Elque Group,22.70216111,88.47013056,10/20/17,TBD,137.991,,,Bureau Veritas Certification India Pvt. Ltd.,Masud Hasan,7,0,0,,,,,
P10570,Netuno Internacional S/A,Seafood Processing Plant Standard,3,Plant,Tilapia,4,Brazil,Netuno Internacional S/A,Netuno Internacional S/A,-9.421333333,-38.2069,10/22/18,,,,,,,,,,,,,,
