bapid,country,latitude,longitude
F10556Q,Canada,45.0813,-66.48775
F10557,United States,48.40804444,-122.5593528
F10559,India,16.4,81.45
F10559A,India,16.57270278,81.52206111
F10559B,India,16.46271667,81.53511667
F10559C,India,16.598552,81.4500763
F10560,India,15.877605,80.582769
F10563,China,21.5450002,111.3632478
F10566,Thailand,13.39921067,99.81599193
F10567,Thailand,13.55893056,101.0310583
F10568,Thailand,10.24593827,99.11981192
F10570,Chile,-42.180556,-72.454667
F10570A,Chile,-41.51760087,-72.98714904
F10570B,Chile,-42.180556,-72.454667
F10570C,Chile,-42.241037,-72.447352
F10570D,Chile,-42.27581001,-72.52177505
F10570E,Chile,-42.03822,-72.52722
F10570F,Chile,-42.10381,-72.46606
F10570G,Chile,-42.0575,-72.64214
F10570H,Chile,-42.43,-73.34
F10570I,Chile,-42.43,-72.42
F10570J,Chile,-42.11,-72.49
F10570L,Chile,-42.05932778,-72.63032222
F10570M,Chile,-42.08,-72.47
F10570N,Chile,-42.13149722,-73.46424444
F10571,United States,48.13845556,-123.4202917
F10572A,Phillippines,18.26197582,121.9094364
F10572B,Phillippines,18.27804636,121.8254202
F10572C,Phillippines,18.26455756,121.8685501
F10575A,Chile,-42.70027,-73.581896
F10575AA,Chile,-44.6656,-73.82382222
F10575AB,Chile,-44.74206389,-73.855975
F10575AC,Chile,-44.83047222,-73.78410278
F10575AD,Chile,-45.45606111,-74.13595
F10575AE,Chile,-44.73619167,-73.94105833
F10575B,Chile,-42.673292,-73.607313
F10575C,Chile,-42.51324705,-73.75962867
F10575D,Chile,-41.605837,-72.986151
F10575E,Chile,-41.945045,-72.833586
F10575F,Chile,-41.569056,-72.965808
F10575G,Chile,-41.707593,-72.951104
F10575H,Chile,-41.594138,-73.067134
F10575I,Chile,-45.147478,-74.257291
F10575J,Chile,-43.25739632,-73.66204176
F10575K,Chile,-43.1853,-73.68266111
F10575L,Chile,-44.66990833,-73.86011667
F10575M,Chile,-44.81793838,-73.7230545
F10575N,Chile,-44.72273889,-73.61605
F10575O,Chile,-44.07308611,-73.14848333
F10575P,Chile,-44.26518333,-73.07255833
F10575Q,Chile,-44.55901667,-73.15393611
F10575R,Chile,-41.66598611,-73.05331944
F10575T,Chile,-41.55262222,-73.00948889
F10575U,Chile,-41.81450556,-73.33234722
F10575V,Chile,-43.94623611,-73.84579722
F10575W,Chile,-44.78253333,-73.30983056
F10575X,Chile,-43.31865,-73.71741389
F10575Y,Chile,-44.15168611,-73.84821944
F10575Z,Chile,,
F10576,China,21.47083333,110.7702778
F10578C,India,14.594325,80.16682222
F10579,Vietnam,10.47813611,107.3415972
F10580,Vietnam,10.70230737,105.277693
F10582,Mexico,28.42176389,-111.5761
F10584A,Chile,-42.63555556,-73.53583333
F10584B,Chile,-42.64472222,-73.45472222
F10584C,Chile,-42.590675,-73.4
F10584D,Chile,-42.63018884,-73.57061062
F10584E,Chile,-42.5497418,-73.45244064
F10584F,Chile,-42.67033239,-73.58058586
F10585,Chile,-45.62505833,-73.29840833
F10585B,Chile,-45.37734167,-73.03167222
F10585C,Chile,-45.69623155,-73.36043272
F10585D,Chile,-45.298375,-73.112075
F10585E,Chile,-45.56646389,-73.87588611
F10585F,Chile,-42.603547,-73.335697
F10585G,Chile,-42.648825,-73.676608
F10585H,Chile,-42.645861,-73.672344
F10585I,Chile,-42.134258,-72.585025
F10585J,Chile,-42.161875,-72.524886
F10585N,Chile,-44.98005278,-73.49193056
F10585O,Chile,-45.37361111,-74.15333333
F10585P,Chile,-41.93293333,-73.52570278
F10586A,Chile,-45.27350931,-74.29984703
F10586B,Chile,-45.32138889,-74.255925
F10588,India,20.77302778,72.88137778
F10589,Vietnam,10.29965833,105.7983222
F10590,India,15.87742,80.511861
F10590B,India,15.95911111,80.82266667
F10591,Peru,-13.170512,-75.070273
F10593A,Thailand,7.418055556,99.58527778
